"startwith";"contains";"endswith";"find";"replace";"rawmin";"rawmax";"engmin";"engmax";"unit";"format";"description";"alarmoption";"trendoption"
;;"_DigitalHeatPump.runFeedback";"_DigitalHeatPump.runFeedback";"_V";;;;;"";"";"Driftindikering";;
;;"_DigitalHeatPump.manualSwitch";"_DigitalHeatPump.manualSwitch";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_DigitalHeatPump.manualOperation";"_DigitalHeatPump.manualOperation";"_AL5";;;;;"";"";"Handställningslarm";p:C;
;;"_DigitalHeatPump.test";"_DigitalHeatPump.test";"_V8";;;;;"";"";"Pumpmotion aktiv";;

;;"_DigitalDamper.servo";"_DigitalDamper.servo";"_CMD";;;;;;;"Startorder";;

;;"_DewPoint.dewPoint";"_DewPoint.dewPoint";"_PV3";;;;;"°C";"0.0";"Daggpunkt";;
;;"_DewPoint.temp";"_DewPoint.temp";"_PV1";;;;;"°C";"0.0";"Ingångsvärde temperatur";;
;;"_DewPoint.humidity";"_DewPoint.humidity";"_PV2";;;;;"%rh";"0";"Ingångsvärde fuktighet";;


;;"_FireDamper.openFeedback";"_FireDamper.openFeedback";"_V1";;;;;"";"";"Öppetindikering";;
;;"_FireDamper.closedFeedback";"_FireDamper.closedFeedback";"_V0";;;;;"";"";"Stängtindikering";;

;;"_HeatCoil.run";"_HeatCoil.run";"_CMD";;;;;"";"";"Startorder";;
;;"_HeatCoil.runFeedback";"_HeatCoil.runFeedback";"_V";;;;;"";"";"Driftindikering";;
;;"_HeatCoil.manualSwitch";"_HeatCoil.manualSwitch";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;

;;"_HeatCoilPump.run";"_HeatCoilPump.run";"_CMD";;;;;"";"";"Startorder";;
;;"_HeatCoilPump.runFeedback";"_HeatCoilPump.runFeedback";"_V";;;;;"";"";"Driftindikering";;
;;"_HeatCoilPump.manualSwitch";"_HeatCoilPump.manualSwitch";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_HeatCoilPump.test";"_HeatCoilPump.test";"_V8";;;;;"";"";"Pumpmotion aktiv";;

;;"_NightCool.active";"_NightCool.active";"_V";;;;;"";"";"Nattkyla aktiv";;
;;"_NightCool.BlockHeat";"_NightCool.BlockHeat";"_V3";;;;;"";"";"Nattkylablockering aktiv";;

;;"_OverrideSwitch.allowStart";"_OverrideSwitch.allowStart";"_V";;;;;"";"";"Tillåt start";;
;;"_OverrideSwitch.override";"_OverrideSwitch.override";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;

;;"_ScheduleWeekdays.operation";"_ScheduleWeekdays.operation";"_CMD";;;;;"";"";"Tidkanal aktiv";;
;;"_ScheduleWeekdays.manualSwitch";"_ScheduleWeekdays.manualSwitch";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_ScheduleWeekdays.manualOperation";"_ScheduleWeekdays.manualOperation";"_AL5";;;;;"";"";"Handställningslarm";p:C;

;;"_SingleFan.runFeedback";"_SingleFan.runFeedback";"_V";;;;;"";"";"Driftindikering";;
;;"_SingleFan.run";"_SingleFan.run";"_CMD";;;;;"";"";"Startorder";;
;;"_SingleFan.manualSwitch";"_SingleFan.manualSwitch";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_SingleFan.manualOperation";"_SingleFan.manualOperation";"_AL5";;;;;"";"";"Handställningslarm";p:C;


;;"_AnalogValve.operation";"_AnalogValve.operation";"_OP";;;;;"%";"0";"Utsignal";;
;;"_AnalogValve.manualControl";"_AnalogValve.manualControl";"_OPM";;;;;"%";"0";"Manuell utsignal";;
;;"_AnalogValve.manualSwitch";"_AnalogValve.manualSwitch";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;

;;"_SensorTemperature.sensorValue";"_SensorTemperature.sensorValue";"_PV";;;;;"°C";"0.0";"Mätvärde";;
